"","Species","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","troph_level","Dim.1","Dim.2"
"320","Neogobius melanostomus",25,4.023622501,0.730706368,0.297320611,0.543404063,0.496183206,0.629741085,0.71641461,0.248505977,1.908822333,3.3,1.33004235996719,2.70056441922861
"321","Nocomis biguttatus",26,3.568482975,0.561716547,0.25683832,0.309770115,0.381854373,0.591075689,0.254879636,0.168820869,2.386740773,3.03,-0.366624169695923,-0.35597685798958
"322","Nocomis leptocephalus",26,3.68447726,0.624255465,0.218499636,0.433789156,0.373846256,0.549863836,0.283032607,0.149583798,2.117192919,3.1,0.0400697132459279,-0.234217894711326
"323","Nocomis micropogon",33,4.228283398,0.643583027,0.252472123,0.332189186,0.444603408,0.698953659,0.228603459,0.158098565,2.294693192,3.17,0.954808308339763,-0.237828601563881
"324","Nocomis raneyi",32,4.119017741,0.575313761,0.29566016,0.253371293,0.397125321,0.510729761,0.256817485,0.15544596,1.957082329,3.1,0.0991922666747713,-0.848394594085627
"325","Notemigonus crysoleucas",32,3.334368484,0.486819417,0.429694444,0.47798691,0.303794444,0.395879336,0.261053831,0.165396508,2.965019458,2.65,-1.70602376313177,-0.337803754651823
"326","Notesthes robusta",30,2.314704723,0.73152265,0.27775096,0.621904714,0.601625175,0.482956154,0.461180219,0.25417445,2.40474784027267,3.12,-1.67914566028016,2.21225937764794
"327","Notropis amabilis",6.2,4.623535294,0.476470588,0.672368421,0.458858824,0.408384556,0.612470588,0.211764706,0.168189353,2.54467093,2.9,0.400801255285655,1.23505519292704
"328","Notropis amoenus",11,5.004993643,0.450170468,0.619530973,0.36917624,0.439637168,0.508590911,0.256901421,0.175667388,2.396554348,2.8,0.196510678551846,0.406200470499526
"329","Notropis atherinoides",13,5.127935982,0.568281312,0.632200736,0.594858376,0.55483089,0.550661288,0.295185798,0.149678781,2.726114511,2.8,0.97191695442178,1.1350217268548
"330","Notropis atrocaudalis",8,4.288289866,0.507310166,0.541267123,0.357960891,0.35839726,0.532842826,0.259224385,0.154774468,2.262453901,2.9,0.106595597153732,0.571044363217441
"331","Notropis bairdi",8,4.662683647,0.611257897,0.479096324,0.42427844,0.293419508,0.630886534,0.29573692,0.186528081,2.90048032,2.9,0.841760416709762,1.3785269466853
