SourceID,SiteID,TimeSeriesID,Protocol,Latitude,Longitude,BioRealm,HydroBasin,Country,Region,Province,Waterbody,
4,S8886,G110,Electrofishing_backpack,46.54373,17.1796,Palearctic,2080008490,HUN,ZALA,NAGYKANIZSAI/ZALAKAROS,KISKOMAROMI-CSATORNA,GARAPIA
4,S668,G101,Electrofishing_backpack,46.63254,17.44629,Palearctic,2080008490,HUN,SOMOGY,MARCALI,BORONKA-PATAK,GARAPIA
4,S9578,G116,Electrofishing_backpack,46.63345,17.26295,Palearctic,2080008490,HUN,SOMOGY,MARCALI,MAROTVOLGYI-CSATORNA,LIGEIRO
4,S11803,G136,Electrofishing_backpack,46.49488,17.21292,Palearctic,2080008490,HUN,SOMOGY,MARCALI,ZALA-SOMOGYI-HATARAROK,LIGEIRO
4,S10086,G118,Electrofishing_backpack,46.65607,17.61296,Palearctic,2080008490,HUN,SOMOGY,LENGYELTOTI,POGANYVOLGYI-VIZFOLYAS,OURO
4,S11815,G137,Electrofishing_backpack,46.53436,17.22959,Palearctic,2080008490,HUN,ZALA,NAGYKANIZSAI/ZALAKAROS,ZALA-SOMOGYI-HATARAROK,OURO
4,S5106,G144,Electrofishing_backpack,46.91515,17.5297,Palearctic,2080008490,HUN,VESZPREM,TAPOLCA,EGER-VIZ,PINHEIROS
4,S5554,G145,Electrofishing_backpack,46.92735,17.56304,Palearctic,2080008490,HUN,VESZPREM,TAPOLCA,EGER-VIZ,AGUA PARADA
4,S11734,G134,Electrofishing_backpack,46.99218,17.64639,Palearctic,2080008490,HUN,VESZPREM,VESZPREM,VAZSONYI-SED,PINHEIROS
4,S4432,G143,Electrofishing_backpack,46.87336,17.47969,Palearctic,2080008490,HUN,VESZPREM,TAPOLCA,EGER-VIZ,SEM NOME
4,S6013,G102,Electrofishing_backpack,46.83626,17.47968,Palearctic,2080008490,HUN,VESZPREM,TAPOLCA,EGER-VIZ,SEM NOME
4,S6470,G103,Electrofishing_backpack,46.80658,17.463,Palearctic,2080008490,HUN,VESZPREM,TAPOLCA,EGER-VIZ,CERRITO
4,S11829,G138,Electrofishing_backpack,46.75285,17.12965,Palearctic,2080008490,HUN,ZALA,HEVIZ/KESZTHELY,ZALA,CERRITO
4,S11263,G129,Electrofishing_backpack,46.84993,17.42968,Palearctic,2080008490,HUN,VESZPREM,TAPOLCA,TAPOLCA-PATAK,ENCANTADO
4,S9310,G114,Electrofishing_backpack,46.80342,17.413,Palearctic,2080008490,HUN,VESZPREM,TAPOLCA,LESENCE-PATAK,ENCANTADO
4,S11150,G128,Electrofishing_backpack,46.80685,17.42967,Palearctic,2080008490,HUN,VESZPREM,TAPOLCA,TAPOLCA-PATAK,ESCANGALHADO
