"","SpecCode","Suporder","Order","Family","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","Type.of.illustration","Reference","Species"
"7199",27263,"Teleostei","Characiformes","Parodontidae",10.1,4.042448105,0.48406345,0.395750885,0.234862673,0.151635076,0.418209218,0.205925139,0.193721192,2.0201,"Photograph","DaPaul University, Chicago, USA (https://www.depaul.edu)","Saccodon wagneri"
"7200",59835,"Teleostei","Cypriniformes","Cyprinidae",12.5,4.349470736,0.708628856,0.424010304,0.576448783,0.29595987,0.486082623,0.341603855,0.161385141,3.05475755,"Photograph","Journal of Threatened Taxa (https://threatenedtaxa.org)","Sahyadria chalakkudiensis"
"7201",24148,"Teleostei","Cypriniformes","Cyprinidae",15,3.713418142,0.538826129,0.7017875,0.461183003,0.35795,0.365293468,0.296837472,0.238036215,2.825071187,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Sahyadria denisonii"
"7202",12238,"Teleostei","Osmeriformes","Salangidae",10,10.24776039,0.381509666,0.589732127,0.271436258,1.050258065,0.42633268,0.459423883,0.085747445,2.522311585,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Salangichthys microdon"
"7203",22672,"Teleostei","Osmeriformes","Salangidae",15,10.28971426,0.681673871,0.677863346,0.644570248,2.161150254,0.233446812,0.644551123,0.056443399,5.317326129,"Drawing","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Salanx ariakensis"
"7204",12239,"Teleostei","Osmeriformes","Salangidae",16.1,12.06480625,0.632849625,0.65957617,0.659352575,1.821751299,0.398819965,0.373018657,0.050175526,3.349224806,"Photograph","Encyclopedia of Life, Smithsonian Museum (https://eol.org/)","Salanx chinensis"
"7205",47139,"Teleostei","Osmeriformes","Salangidae",13.87,9.72235296,0.786231191,0.706733415,0.782591953,1.22960544,0.293387493,0.724682017,0.09627645,3.198900668,"Drawing","Wu, X. (1964) The Cyprinid Fishes of China. (In Chinese).
Chu, X., Chen, Y. (1989) The Fishes of Yunnan, China, Part I. Science Press, Beijing. (In Chinese).
Chu, X., Chen, Y. (1990) The Fishes of Yunnan, China, Part II. Science Press, Beijing. (In Chinese).
Ding, R. (1994) The Fishes of Sichuan, China. Sichuan Sciences and Technology Press, Chengdu. (In Chinese).","Salanx prognathus"
"7206",4877,"Teleostei","Perciformes","Blenniidae",15.4,4.696455446,0.730257426,0.255084507,0.345336634,0.543676056,0.702970297,0.582831683,0.189361263,2.399029522,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Salaria fluviatilis"
"7207",51187,"Teleostei","Characiformes","Characidae",46.5,3.596963941,0.52139376,0.338657786,0.424613867,0.900340539,0.391293785,0.256496901,0.147929757,2.548583333,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Salminus affinis"
"7208",56329,"Teleostei","Characiformes","Characidae",100,3.525181427,0.657023123,0.201008239,0.588380768,1.007711704,0.46222668,0.198717076,0.15254013,3.119617594,"Photograph","Ota, R. R., Deprá, G. D. C., Graça, W. J. D., & Pavanelli, C. S. (2018). Peixes da planície de inundaçao do alto rio Paraná e áreas adjacentes: revised, annotated and updated. Neotropical Ichthyology 16 (2).","Salminus brasiliensis"
