"","Site","Country","HydroBasin","taxnovel","trophnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"216","G1048","USA","7080047060",FALSE,FALSE,0,100,0.625,-0.698168868767978,-0.278492859561226
"217","G10481","SWE","2080033120",FALSE,FALSE,0,225,0.789473684210526,0.154899626540415,0.548642441305018
"218","G10483","SWE","2080032600",FALSE,FALSE,0,36,1,1.24682730053516,-0.701986133604742
"219","G10485","SWE","2080033080",FALSE,FALSE,0,25,0.384615384615385,-1.94496128498794,-0.774774040080972
"220","G10486","SWE","2080033120",FALSE,FALSE,0,1089,0.868421052631579,0.564372504288444,6.26580164089249
"221","G10487","SWE","2080033120",FALSE,FALSE,0,25,1,1.24682730053516,-0.774774040080972
"222","G1049","USA","7080047060",FALSE,FALSE,0,146,0.524305555555556,-1.22043635867345,0.025892931157552
"223","G10490","SWE","2080032600",FALSE,FALSE,0,64,0.8,0.209496010240152,-0.516707826210704
"224","G10494","SWE","2080032600",FALSE,FALSE,0,289,0.944444444444444,0.958679719897656,0.972135715348535
"225","G10497","SWE","2080032230",FALSE,FALSE,0,256,0.842105263157895,0.427881545039101,0.753771995919846
"226","G10498","SWE","2080032230",FALSE,FALSE,0,49,1,1.24682730053516,-0.615964062314653
"227","G10499","SWE","2080032230",FALSE,FALSE,0,121,0.846153846153846,0.448880154154384,-0.139534129015697
"228","G1050","USA","7080047060",FALSE,FALSE,0,625,0.882563551736484,0.637724788510879,3.195475404077
"229","G10500","SWE","2080032600",FALSE,FALSE,0,100,1,1.24682730053516,-0.278492859561226
"230","G10501","SWE","2080032230",FALSE,FALSE,0,100,0.909090909090909,0.775313077673791,-0.278492859561226
"231","G10503","SWE","2080032230",FALSE,FALSE,0,36,1,1.24682730053516,-0.701986133604742
"232","G10504","SWE","2080032230",TRUE,FALSE,0,100,0.769230769230769,0.0499065809639978,-0.278492859561226
"233","G10505","SWE","2080032230",FALSE,FALSE,0,64,1,1.24682730053516,-0.516707826210704
"234","G10509","SWE","2080032230",FALSE,FALSE,0,324,0.9,0.728161655387655,1.20373359959108
"235","G1051","USA","7080047060",FALSE,FALSE,0,481,0.803819894563996,0.229308491024457,2.24261553747909
"236","G10512","SWE","2080033120",FALSE,FALSE,0,1156,0.85,0.468828832813904,6.7091461621568
"237","G10514","SWE","2080032600",FALSE,FALSE,0,196,0.875,0.598495244100779,0.356747051504049
"238","G10515","SWE","2080032230",FALSE,FALSE,0,81,0.45,-1.60583374777611,-0.404217425292895
"239","G10517","SWE","2080033120",FALSE,FALSE,0,324,0.9,0.728161655387655,1.20373359959108
"240","G1052","USA","7080047060",FALSE,FALSE,0,666,0.950980392156863,0.992579435266774,3.46677578276113
"241","G10520","SWE","2080033120",FALSE,FALSE,0,1156,0.85,0.468828832813904,6.7091461621568
"242","G10523","SWE","2080032230",FALSE,FALSE,0,64,1,1.24682730053516,-0.516707826210704
"243","G10524","SWE","2080032230",FALSE,FALSE,0,36,1,1.24682730053516,-0.701986133604742
"244","G10526","SWE","2080033080",FALSE,FALSE,0,49,0.368421052631579,-2.02895572144907,-0.615964062314653
"245","G10527","SWE","2080033120",TRUE,FALSE,0,169,0.866666666666667,0.555273107005154,0.178085826516941
"246","G1053","USA","7080047060",FALSE,FALSE,0,500,0.810359231411863,0.263225784674814,2.36834010321075
"247","G10534","SWE","2080032600",FALSE,FALSE,0,25,0.714285714285714,-0.235074542743421,-0.774774040080972
"248","G10535","SWE","2080033130",FALSE,FALSE,0,25,0.5,-1.34650092520236,-0.774774040080972
"249","G10538","SWE","2080033120",TRUE,FALSE,0,1681,0.872340425531915,0.584700945027708,10.183114425795
"250","G1054","USA","7080047060",TRUE,FALSE,0,596,0.908496732026144,0.772231285367508,3.00358001427603
"251","G10540","SWE","2080033130",FALSE,FALSE,0,64,0.615384615384615,-0.748040565416776,-0.516707826210704
"252","G10543","SWE","2080033130",FALSE,FALSE,0,49,0.583333333333333,-0.914279554246104,-0.615964062314653
"253","G10544","SWE","2080033010",FALSE,FALSE,0,25,0.384615384615385,-1.94496128498794,-0.774774040080972
"254","G10545","SWE","2080033130",FALSE,FALSE,0,256,0.666666666666667,-0.482058183289852,0.753771995919846
"255","G1055","USA","7080047060",TRUE,FALSE,0,637,0.929411764705882,0.880710374548685,3.27488039296016
"256","G10550","SWE","2080033130",FALSE,FALSE,0,169,0.590909090909091,-0.87498670234099,0.178085826516941
"257","G10551","SWE","2080032680",FALSE,TRUE,0,121,0.578947368421053,-0.937028047454327,-0.139534129015697
"258","G10556","SWE","2080033120",FALSE,FALSE,0,576,0.857142857142857,0.505876378895868,2.87123836613743
"259","G1056","USA","7080047060",FALSE,FALSE,0,481,0.803819894563996,0.229308491024457,2.24261553747909
"260","G10561","SWE","2080033120",FALSE,FALSE,0,441,0.875,0.598495244100779,1.97793224120189
"261","G10562","SWE","2080033080",FALSE,FALSE,0,36,0.4,-1.86516657034986,-0.701986133604742
"262","G10567","SWE","2080032230",FALSE,FALSE,0,169,0.722222222222222,-0.19391060265235,0.178085826516941
"263","G10568","SWE","2080033120",FALSE,FALSE,0,1089,0.868421052631579,0.564372504288444,6.26580164089249
"264","G1057","USA","7080047060",TRUE,FALSE,0,50,0.5,-1.34650092520236,-0.609346979907723
"265","G10571","SWE","2080033130",FALSE,FALSE,0,36,0.5,-1.34650092520236,-0.701986133604742
"266","G10575","SWE","2080033120",FALSE,FALSE,0,64,0.533333333333333,-1.17361237681986,-0.516707826210704
